Map Type,Zone ID,Zone Name,Has Data,Indicators
EEZ,434,"Libya",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,440,"Lithuania",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,450,"Madagascar",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,459,"Malaysia (Peninsula West)",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,460,"Malaysia (Peninsula East)",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,461,"Malaysia (Sabah)",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,462,"Maldives",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,463,"Malaysia (Sarawak)",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,470,"Malta",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,474,"Martinique (France)",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,478,"Mauritania",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,480,"Mauritius",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,488,"Hawaii Northwest Islands (USA)",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,500,"Montserrat (UK)",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,508,"Mozambique",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,512,"Oman",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,516,"Namibia",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,520,"Nauru",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,528,"Netherlands",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,540,"New Caledonia (France)",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,548,"Vanuatu",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,554,"New Zealand",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,555,"Kermadec Isl. (New Zealand)",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,566,"Nigeria",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,570,"Niue (New Zealand)",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,574,"Norfolk Isl. (Australia)",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,578,"Norway",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,579,"Jan Mayen Isl. (Norway)",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,580,"Northern Marianas (USA)",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,583,"Micronesia (Federated States of)",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,584,"Marshall Isl.",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,585,"Palau",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,586,"Pakistan",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,598,"Papua New Guinea",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,604,"Peru",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,608,"Philippines",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,612,"Pitcairn (UK)",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,616,"Poland",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,620,"Portugal",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,621,"Madeira Isl. (Portugal)",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,622,"Azores Isl. (Portugal)",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,624,"Guinea-Bissau",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,626,"Timor Leste",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,630,"Puerto Rico (USA)",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,634,"Qatar",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,638,"R̩union (France)",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,642,"Romania",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,645,"Russia (Barents Sea)",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,647,"Russia (Black Sea)",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,648,"Russia (Baltic Sea)",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,649,"Russia (Far East)",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,654,"Saint Helena (UK)",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,659,"Saint Kitts & Nevis",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,660,"Anguilla (UK)",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,662,"Saint Lucia",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,666,"Saint Pierre & Miquelon (France)",False,""
EEZ,670,"Saint Vincent & the Grenadines",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,678,"Sao Tome & Principe",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,683,"Saudi Arabia (Red Sea)",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,684,"Saudi Arabia (Persian Gulf)",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,686,"Senegal",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,690,"Seychelles",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,694,"Sierra Leone",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,702,"Singapore",False,""
EEZ,704,"Vietnam",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,705,"Slovenia",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,706,"Somalia",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,711,"South Africa (Prince Edward Islands)",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,723,"Canary Isl. (Spain)",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,736,"Sudan",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,740,"Suriname",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,744,"Svalbard Isl. (Norway)",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,760,"Syria",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,768,"Togo",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,772,"Tokelau (New Zealand)",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,776,"Tonga",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,780,"Trinidad & Tobago",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,784,"United Arab Emirates",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,788,"Tunisia",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,793,"Turkey (Mediterranean Sea)",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,794,"Turkey (Black Sea)",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
